StudentID,NEUId,FirstName,LastName,SSNNo,DOB,EmailId,PhoneNo,Degree,Gender,isActive,ProgramID,DeptID,HomeAddID,OnCampusAddID,OffCampusAddID
,201,Krupali,Patel,,5,Patel.Krupali@northeastern.edu,8889997756,Masters,F,Active,1,1,5,1,
,202,Aditya,Sargar,,6,Sargar.Aditya@northeastern.edu,8887994245,Masters,M,Active,1,1,5,2,
,203,Aarti,Mehta,,7,Mehta.Aarti@northeastern.edu,8885990734,Masters,F,Active,1,1,3,3,
,204,Niyati,Shah,,8,Shah.Niyati@northeastern.edu,8883987223,Masters,F,Active,1,1,4,4,
,205,Sonali,Singh,111444256,9,Singh.Sonali@northeastern.edu,8881983712,Masters,F,Active,2,2,10,,10
,206,Girish,Pillai,,10,Pillai.Girish@northeastern.edu,8879980201,Masters,M,Inactive,2,2,11,,11
,207,Margesh,Patel,121025658,11,Patel.Margesh@northeastern.edu,8877976690,Masters,M,Inactive,2,2,12,,12
,208,Neha,Battula,111111111,12,Battula.Neha@northeastern.edu,8875973179,Masters,F,Inactive,2,2,13,13,
,209,Kushal,Shah,222585975,13,Shah.Kushal@northeastern.edu,8873969668,Masters,M,Inactive,3,4,14,14,
,210,Mira,Patel,225877965,16,Patel.Mira@northeastern.edu,8871966157,Masters,F,Active,3,4,5,5,
,211,Nick,Brown,225588774,14,Brown.Nick@northeastern.edu,8869962646,Masters,M,Inactive,3,4,3,,3
,212,Rick,Sherman,669879987,15,Sherman.Rick@northeastern.edu,8867959135,Masters,M,Inactive,3,4,5,,5
